id	parent_goal_id	creator_id	goal_picture_url	title	description	created_date	level_id	privacy	order	status
1	NULL	1	promise_default.png	To be so strong that nothing can disturb my peace of mind.		8/5/2015 0:00	12	0	1	0
2	NULL	1	promise_default.png	"To talk health, happiness and prosperity to every person you meet."		8/6/2015 0:00	12	0	1	0
3	NULL	1	promise_default.png	To make all your friends feel that there is something in them.		8/7/2015 0:00	12	0	1	0
4	NULL	1	promise_default.png	To look at the sunny side of everything and make your optimism come true.		8/8/2015 0:00	12	0	1	0
5	NULL	1	promise_default.png	"To think only of the best, to work only for the best and expect only the best."		8/9/2015 0:00	12	0	1	0
6	NULL	1	promise_default.png	To be enthusiastic about the success of others as you are about your own.		8/10/2015 0:00	12	0	1	0
7	NULL	1	promise_default.png	To forget the mistakes of the past and press on to greater achievements of the future.		8/11/2015 0:00	12	0	1	0
8	NULL	1	promise_default.png	To wear a cheerful countenance at all times and give every living creature you meet a smile.		8/12/2015 0:00	12	0	1	0
9	NULL	1	promise_default.png	To give so much time to the improvement of yourself  that you have no time to criticize others.		8/13/2015 0:00	12	0	1	0
10	NULL	1	promise_default.png	Not to worry and have no fear		8/14/2015 0:00	12	0	1	0
11	NULL	1	promise_default.png	Accept everything I am and everything I am not		8/15/2015 0:00	12	0	1	0
12	NULL	1	promise_default.png	Appreciate others for who they are		8/16/2015 0:00	12	0	1	0
13	NULL	1	promise_default.png	Speak kindly and consciously to others		8/17/2015 0:00	12	0	1	0
14	NULL	1	promise_default.png	Stop trying to control everything		8/18/2015 0:00	12	0	1	0
15	NULL	1	promise_default.png	Appreciate the beauty of small moments		8/19/2015 0:00	12	0	1	0
16	NULL	1	promise_default.png	Grow from my challenges		8/20/2015 0:00	12	0	1	0
17	NULL	1	promise_default.png	Realize and use my power		8/21/2015 0:00	12	0	1	0
18	NULL	1	promise_default.png	Have some fun while I m doing it all		8/22/2015 0:00	12	0	1	0
