id	parent_goal_id	creator_id	goal_picture_url	title	description	created_date	level_id	privacy	order	status
1	NULL	1	goal_default.png	10 days of continuous Yoga		0000-00-00 00:00:00	6	0	1	0
2	NULL	1	goal_default.png	10+ Days of Continuous Yoga		0000-00-00 00:00:00	6	0	1	0
3	NULL	1	goal_default.png	1000+ subscribers to my blog		0000-00-00 00:00:00	6	0	1	0
4	NULL	1	goal_default.png	60 days of continuous Meditation		0000-00-00 00:00:00	6	0	1	0
5	NULL	1	goal_default.png	A Cirque Du Soleil Show		0000-00-00 00:00:00	6	0	1	0
6	NULL	1	goal_default.png	Abseil Down a Building		0000-00-00 00:00:00	6	0	1	0
7	NULL	1	goal_default.png	Abseil Down a Rock Face		0000-00-00 00:00:00	6	0	1	0
8	NULL	1	goal_default.png	Abseil Down a Waterfall		0000-00-00 00:00:00	6	0	1	0
9	NULL	1	goal_default.png	Accomplish 5 Pull-Ups		0000-00-00 00:00:00	6	0	1	0
10	NULL	1	goal_default.png	Achieve a 4.0 for One Semester		0000-00-00 00:00:00	6	0	1	0
11	NULL	1	goal_default.png	Achieve My Ideal Weight		0000-00-00 00:00:00	6	0	1	0
12	NULL	1	goal_default.png	Achieve Six-Pack Abs		0000-00-00 00:00:00	6	0	1	0
13	NULL	1	goal_default.png	"Achieve 1,000 Goals"		0000-00-00 00:00:00	6	0	1	0
14	NULL	1	goal_default.png	Achieve Happiness		0000-00-00 00:00:00	6	0	1	0
15	NULL	1	goal_default.png	Achieving Intellectual Growth	Being intelligent or smart; having intellectual experiences and conversations; getting an education; obtaining an advanced educational degree	0000-00-00 00:00:00	6	0	1	0
16	NULL	1	goal_default.png	Achieving Mastery & Perseverance	"Accomplishing difficult things, overcoming challenges; overcoming failure; mastering what I set out to do; being ambitious, hard-working; being highly competent"	0000-00-00 00:00:00	6	0	1	0
17	NULL	1	goal_default.png	Achieving Religion & Spirituality	Achieving salvation; maintaining religious faith; pleasing God; practicing religious traditions; growing spiritually; avoiding impure acts	0000-00-00 00:00:00	6	0	1	0
18	NULL	1	goal_default.png	Achieving Self-Knowledge	"Achieving personal growth; knowing myself (to be true to myself, not follow the crowd); to get in tune with my emotions; to accept myself, other people, or things as they are"	0000-00-00 00:00:00	6	0	1	0
19	NULL	1	goal_default.png	Achieving Wisdom & Serenity	"Achieving harmony and oneness (with self and the universe); finding higher meaning in life; having wisdom, a mature understanding of life"	0000-00-00 00:00:00	6	0	1	0
